title,company,location,skills,salary
data scientist,TCS,Bangalore,"python, machine learning, pandas, numpy, sql",7.8L
data scientist,Accenture,Hyderabad,"python, machine learning, pandas, numpy, sql",12.8L
data scientist,IBM,Gurgaon,"python, machine learning, pandas, numpy, sql",13.4L
data scientist,Cognizant,Noida,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,Capgemini,Pune,"python, machine learning, pandas, numpy, sql",8.6L
data scientist,Infosys,Chennai,"python, machine learning, pandas, numpy, sql",9.3L
data scientist,Wipro,Hyderabad,"python, machine learning, pandas, numpy, sql",9.7L
data scientist,Tech Mahindra,Delhi,"python, machine learning, pandas, numpy, sql",7.6L
data scientist,Fractal Analytics,Delhi,"python, machine learning, pandas, numpy, sql",15.9L
data scientist,Deloitte,Pune,"python, machine learning, pandas, numpy, sql",14.2L
data scientist,Ericsson,Bangalore,"python, machine learning, pandas, numpy, sql",14.6L
data scientist,HCL Technologies,Mumbai,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,Amazon,Chennai,"python, machine learning, pandas, numpy, sql",28.1L
data scientist,UnitedHealth,Bangalore,"python, machine learning, pandas, numpy, sql",14.8L
data scientist,Mu Sigma,Gurgaon,"python, machine learning, pandas, numpy, sql",7.4L
data scientist,Ab Inbev,Gurgaon,"python, machine learning, pandas, numpy, sql",20.6L
data scientist,L&T Infotech,Noida,"python, machine learning, pandas, numpy, sql",11.6L
data scientist,Tiger Analytics,Noida,"python, machine learning, pandas, numpy, sql",14.8L
data scientist,Optum,Mumbai,"python, machine learning, pandas, numpy, sql",16.6L
data scientist,Ernst & Young,Mumbai,"python, machine learning, pandas, numpy, sql",12.4L
data scientist,Mindtree,Hyderabad,"python, machine learning, pandas, numpy, sql",10.6L
data scientist,Walmart,Pune,"python, machine learning, pandas, numpy, sql",28.3L
data scientist,DXC Technology,Pune,"python, machine learning, pandas, numpy, sql",10.0L
data scientist,Microsoft Corporation,Delhi,"python, machine learning, pandas, numpy, sql",32.1L
data scientist,Genpact,Delhi,"python, machine learning, pandas, numpy, sql",12.2L
data scientist,Hewlett-Packard Enterprise,Pune,"python, machine learning, pandas, numpy, sql",16.6L
data scientist,Ford Motor,Pune,"python, machine learning, pandas, numpy, sql",14.4L
data scientist,Reliance jio,Delhi,"python, machine learning, pandas, numpy, sql",15.6L
data scientist,Verizon,Pune,"python, machine learning, pandas, numpy, sql",14.2L
data scientist,IQVIA,Chennai,"python, machine learning, pandas, numpy, sql",11.4L
data scientist,Shell,Hyderabad,"python, machine learning, pandas, numpy, sql",20.9L
data scientist,PayPal,Mumbai,"python, machine learning, pandas, numpy, sql",27.7L
data scientist,JP Morgan Chase,Chennai,"python, machine learning, pandas, numpy, sql",20.5L
data scientist,EXL Service,Gurgaon,"python, machine learning, pandas, numpy, sql",14.0L
data scientist,American Express,Mumbai,"python, machine learning, pandas, numpy, sql",17.7L
data scientist,Vodafone Idea,Gurgaon,"python, machine learning, pandas, numpy, sql",13.4L
data scientist,HDFC Bank,Noida,"python, machine learning, pandas, numpy, sql",15.3L
data scientist,Great Learning,Gurgaon,"python, machine learning, pandas, numpy, sql",9.3L
data scientist,Reliance Industries,Hyderabad,"python, machine learning, pandas, numpy, sql",10.4L
data scientist,ZS,Hyderabad,"python, machine learning, pandas, numpy, sql",16.9L
data scientist,Oracle,Noida,"python, machine learning, pandas, numpy, sql",16.3L
data scientist,Novartis Healthcare,Delhi,"python, machine learning, pandas, numpy, sql",21.9L
data scientist,TheMathCompany,Chennai,"python, machine learning, pandas, numpy, sql",10.5L
data scientist,PwC,Chennai,"python, machine learning, pandas, numpy, sql",12.6L
data scientist,SAP,Chennai,"python, machine learning, pandas, numpy, sql",17.4L
data scientist,Legato Health Technologies,Gurgaon,"python, machine learning, pandas, numpy, sql",14.3L
data scientist,Impact Analytics,Delhi,"python, machine learning, pandas, numpy, sql",9.0L
data scientist,Innominds Software,Hyderabad,"python, machine learning, pandas, numpy, sql",10.7L
data scientist,Flipkart,Hyderabad,"python, machine learning, pandas, numpy, sql",23.2L
data scientist,Innodatatics,Gurgaon,"python, machine learning, pandas, numpy, sql",4.5L
data scientist,KPMG,Pune,"python, machine learning, pandas, numpy, sql",14.1L
data scientist,NTT DATA,Delhi,"python, machine learning, pandas, numpy, sql",7.7L
data scientist,HSBC,Pune,"python, machine learning, pandas, numpy, sql",14.1L
data scientist,Societe Generale,Hyderabad,"python, machine learning, pandas, numpy, sql",18.2L
data scientist,Mphasis,Delhi,"python, machine learning, pandas, numpy, sql",8.9L
data scientist,Mercedes-Benz Research & Development India,Noida,"python, machine learning, pandas, numpy, sql",14.1L
data scientist,BEPEC Solutions,Hyderabad,"python, machine learning, pandas, numpy, sql",4.9L
data scientist,Brillio,Noida,"python, machine learning, pandas, numpy, sql",16.0L
data scientist,ABC,Noida,"python, machine learning, pandas, numpy, sql",19.2L
data scientist,WNS,Gurgaon,"python, machine learning, pandas, numpy, sql",11.4L
data scientist,Hexaware Technologies,Hyderabad,"python, machine learning, pandas, numpy, sql",9.7L
data scientist,International School of Engineering,Pune,"python, machine learning, pandas, numpy, sql",10.5L
data scientist,Wells Fargo India,Noida,"python, machine learning, pandas, numpy, sql",15.4L
data scientist,Kyndryl,Delhi,"python, machine learning, pandas, numpy, sql",14.1L
data scientist,eClerx,Pune,"python, machine learning, pandas, numpy, sql",9.3L
data scientist,DBS Bank,Noida,"python, machine learning, pandas, numpy, sql",14.3L
data scientist,Cyient,Bangalore,"python, machine learning, pandas, numpy, sql",10.4L
data scientist,Nagarro,Delhi,"python, machine learning, pandas, numpy, sql",12.1L
data scientist,Freelancer.com,Mumbai,"python, machine learning, pandas, numpy, sql",7.1L
